     0      0 1.000000
     0      1 1.000000
     0      2 1.000000
     0      3 1.000000
     0      4 1.000000
     0      5 1.000000
     0      6 1.000000
     0      7 1.000000
     0      8 1.000000
     0      9 1.000000
     0     10 1.000000
     0     11 1.000000
     0     12 1.000000
     0     13 1.000000
     0     14 1.000000
     0     15 1.000000
     0     16 1.000000
     0     17 1.000000
     0     18 1.000000
     0     19 1.000000
     0     20 1.000000
     0     21 1.000000
     0     22 1.000000
     0     23 1.000000
     0     24 1.000000
     0     25 1.000000
     0     26 1.000000
     0     27 1.000000
     0     28 1.000000
     0     29 1.000000
     0     30 1.000000
     0     31 1.000000
     0     32 1.000000
     0     33 1.000000
     0     34 1.000000
     0     35 1.000000
     0     36 1.000000
     0     37 1.000000
     0     38 1.000000
     0     39 1.000000
     0     40 1.000000
     0     41 1.000000
     0     42 1.000000
     0     43 1.000000
     0     44 1.000000
     0     45 1.000000
     0     46 1.000000
     0     47 1.000000
     0     48 1.000000
     0     49 1.000000
     0     50 1.000000
     0     51 1.000000
     0     52 1.000000
     0     53 1.000000
     0     54 1.000000
     0     55 1.000000
     0     56 1.000000
     0     57 1.000000
     0     58 1.000000
     0     59 1.000000
     0     60 1.000000
     0     61 1.000000
     0     62 1.000000
     0     63 1.000000
     0     64 1.000000
     0     65 1.000000
     0     66 1.000000
     0     67 1.000000
     0     68 1.000000
     0     69 1.000000
     0     70 1.000000
     0     71 1.000000
     0     72 1.000000
     0     73 1.000000
     0     74 1.000000
     0     75 1.000000
     0     76 1.000000
     0     77 1.000000
     0     78 1.000000
     0     79 1.000000
     0     80 1.000000
     0     81 1.000000
     0     82 1.000000
     0     83 1.000000
     0     84 1.000000
     0     85 1.000000
     0     86 1.000000
     0     87 1.000000
     0     88 1.000000
     0     89 1.000000
     0     90 1.000000
     0     91 1.000000
     0     92 1.000000
     0     93 1.000000
     0     94 1.000000
     0     95 1.000000
     0     96 1.000000
     0     97 1.000000
     0     98 1.000000
     0     99 1.000000
     0    100 1.000000
     0    101 1.000000
     0    102 1.000000
     0    103 1.000000
     0    104 1.000000
     0    105 1.000000
     0    106 1.000000
     0    107 1.000000
     0    108 1.000000
     0    109 1.000000
     0    110 1.000000
     0    111 1.000000
     0    112 1.000000
     0    113 1.000000
     0    114 1.000000
     0    115 1.000000
     0    116 1.000000
     0    117 1.000000
     0    118 1.000000
     0    119 1.000000
     0    120 1.000000
     0    121 1.000000
     0    122 1.000000
     0    123 1.000000
     0    124 1.000000
     0    125 1.000000
     0    126 1.000000
     0    127 1.000000
     0    128 1.000000
     0    129 1.000000
     0    130 1.000000
     0    131 1.000000
     0    132 1.000000
     0    133 1.000000
     0    134 1.000000
     0    135 1.000000
     0    136 1.000000
     0    137 1.000000
     0    138 1.000000
     0    139 1.000000
     0    140 1.000000
     0    141 1.000000
     0    142 1.000000
     0    143 1.000000
     0    144 1.000000
     0    145 1.000000
     0    146 1.000000
     0    147 1.000000
     0    148 1.000000
     0    149 1.000000
     0    150 1.000000
     0    151 1.000000
     0    152 1.000000
     0    153 1.000000
     0    154 1.000000
     0    155 1.000000
     0    156 1.000000
     0    157 1.000000
     0    158 1.000000
     0    159 1.000000
     0    160 1.000000
     0    161 1.000000
     0    162 1.000000
     0    163 1.000000
     0    164 1.000000
     0    165 1.000000
     0    166 1.000000
     0    167 1.000000
     0    168 1.000000
     0    169 1.000000
     0    170 1.000000
     0    171 1.000000
     0    172 1.000000
     0    173 1.000000
     0    174 1.000000
     0    175 1.000000
     0    176 1.000000
     0    177 1.000000
     0    178 1.000000
     0    179 1.000000
     0    180 1.000000
     0    181 1.000000
     0    182 1.000000
     0    183 1.000000
